-0.03451012,0.1592836
-0.02506973,0.1640887
0.006416188,0.1769035
0.1165842,0.2281599
0.2928714,0.3066477
0.5163625,0.4091606
0.7839351,0.5292948
1.082986,0.6638447
1.400918,0.8080047
1.731446,0.9569705
2.05882,1.105936
2.376753,1.250096
2.675804,1.384645
2.940221,1.504779
3.166866,1.607292
3.33999,1.68738
3.450166,1.737036
3.478489,1.751451
3.48793,1.756256
3.497371,1.761061
3.525694,1.775476
3.635886,1.821929
3.812236,1.88761
4.042173,1.96291
4.319425,2.039822
4.628274,2.107138
4.962451,2.156849
5.309384,2.179349
5.672226,2.174638
6.054118,2.145918
6.442446,2.091586
6.827789,2.003634
7.017363,1.947651
7.19753,1.880459
7.37458,1.805262
7.542221,1.718856
7.697301,1.621241
7.846126,1.512418
7.979236,1.390785
8.099787,1.257941
8.312535,0.9826425
8.50313,0.7217457
8.668376,0.4832551
8.808253,0.2703725
8.865502,0.1775354
8.91956,0.09270201
8.964094,0.01907234
8.99911,-0.04335337
9.027758,-0.09457438
9.050035,-0.1329902
9.062775,-0.1570003
9.065977,-0.1666048
9.072343,-0.1778092
9.094579,-0.2082209
9.126351,-0.2530377
9.170806,-0.3106582
9.224784,-0.3794825
9.288272,-0.4579098
9.434261,-0.6307693
9.602387,-0.8148288
9.77994,-0.9908819
9.868669,-1.069303
9.957367,-1.14132
10.04601,-1.202131
10.12827,-1.250137
10.31168,-1.334938
10.53295,-1.419729
10.79206,-1.499709
11.0795,-1.568474
11.3984,-1.619622
11.73927,-1.646752
12.10207,-1.643458
12.29129,-1.627402
12.48362,-1.60334
12.84292,-1.529609
13.14846,-1.431878
13.4066,-1.31815
13.61421,-1.194829
13.78396,-1.069917
13.91271,-0.9482172
14.00366,-0.8393341
14.06316,-0.7496691
14.08817,-0.7048376
14.11944,-0.6471983
14.15697,-0.5815525
14.19761,-0.5063004
14.28829,-0.3429872
14.38525,-0.1732686
